name,slug,shortName,position,jerseyNumber,userCount,id,firstName,lastName,averageX,averageY,pointsCount,team
Cecilio Waterman,cecilio-waterman,C. Waterman,F,30,266,159931,,,66.880555555556,46.955555555556,36,Alianza Lima
Renzo Garces,renzo-garces,R. Garces,D,6,72,874985,,,32.437931034483,38.087931034483,58,Alianza Lima
Kevin Serna,serna-kevin,K. Serna,M,26,103,981374,,,71.260869565217,18.045652173913,46,Alianza Lima
Franco Zanelatto,franco-zanelatto,F. Zanelatto,M,7,330,973650,,,78.225,57.775,4,Alianza Lima
Jhamir D´Arrigo,jhamir-d-arrigo,J. D´Arrigo,M,11,96,1017760,,,49.542857142857,82.814285714286,21,Alianza Lima
Víctor Guzmán,victor-guzman,V. Guzmán,F,22,56,1482444,Víctor Guzmán,,56.366666666667,35.758333333333,12,Alianza Lima
Ricardo Lagos,ricardo-lagos,R. Lagos,D,13,92,973682,,,60.876744186047,87.841860465116,43,Alianza Lima
Catriel Cabellos,cabellos-catriel,C. Cabellos,M,27,320,1415942,Catriel Cabellos,,61.705,31.845,20,Alianza Lima
Adrián Arregui,adrian-arregui,A. Arregui,M,5,84,789372,,,53.092405063291,47.489873417722,79,Alianza Lima
Hernán Barcos,hernan-barcos,H. Barcos,F,9,468,31175,,,70.254166666667,45.183333333333,24,Alianza Lima
Franco Saravia,franco-saravia,F. Saravia,G,32,79,973547,,,12.390909090909,46.872727272727,33,Alianza Lima
Axel Moyano,axel-moyano,A. Moyano,M,14,39,978545,,,56.35,77.616666666667,6,Alianza Lima
Jiovany Ramos,ramos-jiovany,J. Ramos,D,29,66,1006509,,,45.948387096774,18.338709677419,62,Alianza Lima
Gabriel Costa,gabriel-costa,G. Costa,M,8,585,590312,,,61.892647058824,48.088235294118,68,Alianza Lima
Juan Freytes,juan-freytes,J. Freytes,D,2,49,962187,,,42.489247311828,76.0,93,Alianza Lima
Sebastián Rodríguez,sebastian-rodriguez,S. Rodríguez,M,10,215,47418,,,50.331868131868,52.940659340659,91,Alianza Lima
