minute,value
1.0,-7
2.0,-10
3.0,-1
4.0,-4
5.0,23
6.0,57
7.0,39
8.0,33
9.0,34
10.0,22
11.0,25
12.0,-26
13.0,-16
14.0,-6
15.0,5
16.0,16
17.0,15
18.0,64
19.0,37
20.0,21
21.0,1
22.0,16
23.0,18
24.0,6
25.0,7
26.0,21
27.0,25
28.0,17
29.0,13
30.0,11
31.0,8
32.0,13
33.0,15
34.0,16
35.0,16
36.0,17
37.0,17
38.0,52
39.0,41
40.0,35
41.0,15
42.0,-37
43.0,-64
44.0,-33
45.0,-20
45.5,-20
46.0,-1
47.0,10
48.0,10
49.0,1
50.0,-3
51.0,33
52.0,26
53.0,27
54.0,21
55.0,45
56.0,5
57.0,10
58.0,9
59.0,45
60.0,89
61.0,58
62.0,62
63.0,41
64.0,29
65.0,19
66.0,61
67.0,49
68.0,36
69.0,25
70.0,19
71.0,32
72.0,24
73.0,25
74.0,20
75.0,38
76.0,30
77.0,19
78.0,50
79.0,17
80.0,-11
81.0,22
82.0,29
83.0,19
84.0,36
85.0,28
86.0,10
87.0,-10
88.0,-23
89.0,-18
90.0,-14
90.5,6
