name,slug,shortName,position,jerseyNumber,userCount,id,firstName,lastName,averageX,averageY,pointsCount,team
Jhamir D´Arrigo,jhamir-d-arrigo,J. D´Arrigo,M,11,98,1017760,,,35.115151515152,85.193939393939,33,Alianza Lima
Gabriel Costa,gabriel-costa,G. Costa,M,8,585,590312,,,49.646153846154,37.661538461538,13,Alianza Lima
Renzo Garces,renzo-garces,R. Garces,D,6,72,874985,,,22.503333333333,41.753333333333,30,Alianza Lima
Cecilio Waterman,cecilio-waterman,C. Waterman,F,30,271,159931,,,66.1875,38.990625,32,Alianza Lima
Kevin Serna,serna-kevin,K. Serna,M,26,105,981374,,,58.143902439024,23.280487804878,41,Alianza Lima
Jiovany Ramos,ramos-jiovany,J. Ramos,D,29,70,1006509,,,35.908888888889,20.42,45,Alianza Lima
Hernán Barcos,hernan-barcos,H. Barcos,F,9,473,31175,,,48.288888888889,48.77037037037,27,Alianza Lima
Sebastián Rodríguez,sebastian-rodriguez,S. Rodríguez,M,10,215,47418,,,50.071739130435,49.186956521739,46,Alianza Lima
Ángel De la Cruz,angel-de-la-cruz,Á. D. l. Cruz,G,12,15,1109887,Ángel De la Cruz,,10.653488372093,48.206976744186,43,Alianza Lima
Franco Saravia,franco-saravia,F. Saravia,G,32,83,973547,,,10.965,47.04,20,Alianza Lima
Adrián Arregui,adrian-arregui,A. Arregui,M,5,86,789372,,,53.788,49.93,50,Alianza Lima
Jesús Castillo,jesus-castillo,J. Castillo,M,15,82,913398,,,35.242857142857,77.433333333333,21,Alianza Lima
Franco Zanelatto,franco-zanelatto,F. Zanelatto,M,7,329,973650,,,68.977777777778,79.444444444444,9,Alianza Lima
Víctor Guzmán,victor-guzman,V. Guzmán,F,22,59,1482444,Víctor Guzmán,,60.1,16.9,1,Alianza Lima
Juan Freytes,juan-freytes,J. Freytes,D,2,50,962187,,,39.044827586207,83.793103448276,58,Alianza Lima
