ID_Jugador;Nombre;Apellido;Nombre_Completo;Nombre_Corto;Edad;Categoria_2025;Valor_Mercado;Nacionalidad;Altura;Pie preferido;Extranjero;Posicion;Posicion S_1;Posicion S_2;goals;yellowCards;redCards;groundDuelsWon;groundDuelsWonPercentage;aerialDuelsWon;aerialDuelsWonPercentage;successfulDribbles;assists;accuratePassesPercentage;totalDuelsWon;totalDuelsWonPercentage;minutesPlayed;wasFouled;fouls;dispossessed;appearances;saves;savedShotsFromInsideTheBox;savedShotsFromOutsideTheBox;goalsConcededInsideTheBox;goalsConcededOutsideTheBox;highClaims;successfulRunsOut;punches;runsOut;accurateFinalThirdPasses;bigChancesCreated;accuratePasses;keyPasses;accurateCrosses;accurateCrossesPercentage;accurateLongBalls;accurateLongBallsPercentage;interceptions;clearances;dribbledPast;bigChancesMissed;totalShots;shotsOnTarget;blockedShots;goalConversionPercentage;hitWoodwork;offsides;errorLeadToGoal;errorLeadToShot;passToAssist;player;team
;;;;;;;;;;;;;;;0;0;0;3;75;1;100;2;0;65;4;80;63;1;1;0;4;0;0;0;1;0;0;0;0;0;2;0;13;0;1;25;1;33;1;3;0;0;0;0;0;0;0;0;0;0;0;Adriano Espinoza;ADC Juan Pablo II
1427104;Alvaro;Rojas;Alvaro Rojas;A. Rojas;20;Sub-20;350000;Perú;171;Der.;0;MCX;MI;MD;2;1;0;47;44;11;33;16;1;66;58;41;918;22;13;17;14;0;0;0;14;3;0;0;0;0;61;2;178;15;5;33;24;53;8;6;5;2;16;2;4;13;1;0;0;0;1;Alvaro Rojas;ADC Juan Pablo II
;;;;;;;;;;;;;;;0;1;0;14;52;3;50;2;0;81;17;52;180;5;8;1;6;0;0;0;6;0;0;0;0;0;14;0;61;2;0;0;5;56;3;2;0;0;4;0;1;0;0;0;0;0;0;Anderson Guevara;ADC Juan Pablo II
;;;;;;;;;;;;;;;2;0;0;30;77;29;53;1;0;81;59;63;1333;8;7;2;15;0;0;0;20;3;0;0;0;0;12;0;375;0;0;0;31;39;8;114;1;0;10;3;2;20;0;1;0;0;0;Arón Sánchez;ADC Juan Pablo II
;;;;;;;;;;;;;;;0;4;1;60;55;18;45;8;0;81;78;52;966;21;23;6;13;0;0;0;15;1;0;0;0;0;52;0;357;1;0;0;23;43;18;24;19;0;1;1;0;0;0;0;0;1;0;Christian Flores;ADC Juan Pablo II
1121321;Cristhian;Tizon;Cristhian Tizon;C. Tizon;29;Mayor;350000;Uruguay;175;Izq.;1;EXI;MP;MI;6;2;0;41;54;7;28;16;3;73;48;48;1318;23;3;12;16;0;0;0;22;3;0;0;0;0;90;7;224;28;24;21;13;52;5;7;6;3;44;21;3;14;1;13;1;1;2;Cristhian Tizon;ADC Juan Pablo II
;;;;;;;;;;;;;;;3;0;0;25;45;16;33;7;3;64;41;40;1017;16;6;13;15;0;0;0;14;3;0;0;0;0;52;4;117;17;0;0;5;42;0;16;4;5;22;10;4;14;1;5;0;0;0;Emiliano Villar;ADC Juan Pablo II
;;;;;;;;;;;;;;;0;0;0;15;54;5;45;1;0;80;20;51;386;3;3;1;7;0;0;0;5;0;0;0;0;0;12;0;106;3;0;0;8;47;10;18;6;1;2;1;0;0;0;0;0;0;0;Fabio Agurto;ADC Juan Pablo II
;;;;;;;;;;;;;;;1;1;0;9;43;10;28;4;0;67;19;33;493;5;4;6;15;0;0;0;8;1;0;0;0;0;20;2;74;6;1;100;3;75;1;5;0;4;13;5;0;8;1;3;0;1;0;Fabrizio Roca;ADC Juan Pablo II
;;;;;;;;;;;;;;;0;0;0;18;42;4;29;3;0;83;22;39;374;6;9;3;8;0;0;0;6;0;0;0;0;0;40;0;169;2;1;33;9;82;3;1;11;0;4;2;0;0;0;0;0;0;0;Gustavo Aliaga;ADC Juan Pablo II
;;;;;;;;;;;;;;;1;0;0;21;36;4;33;5;0;69;25;36;401;11;11;12;9;0;0;0;7;1;0;0;0;0;20;0;70;4;3;25;3;23;2;4;9;0;5;2;1;20;0;0;0;0;0;Gustavo Machado;ADC Juan Pablo II
;;;;;;;;;;;;;;;0;1;0;41;55;3;50;4;0;79;44;55;1024;8;17;2;14;0;0;0;17;3;0;0;0;0;55;1;325;7;3;14;28;38;12;32;12;0;2;0;0;0;0;1;0;0;0;Iván Santillán;ADC Juan Pablo II
;;;;;;;;;;;;EXD;;;0;2;0;34;53;4;33;12;1;85;38;50;725;13;8;10;9;0;0;0;11;2;0;0;0;0;86;2;378;9;7;25;47;78;4;6;6;0;6;2;1;0;0;1;0;0;0;Jack Durán;ADC Juan Pablo II
;;;;;;;;;;;;;;;0;4;0;37;47;14;56;13;3;83;51;49;1081;2;15;10;14;0;0;0;17;3;0;0;0;0;68;4;346;7;4;15;29;45;11;36;9;1;9;2;2;0;0;0;0;0;0;Jorge Toledo;ADC Juan Pablo II
;;;;;;;;;;;;;;;0;1;0;14;52;6;55;3;0;76;20;53;360;2;3;2;6;0;0;0;6;0;0;0;0;0;11;0;108;2;2;100;6;55;9;15;5;0;1;0;1;0;0;0;0;0;0;Josué Canova;ADC Juan Pablo II
;;;;;;;;;;;;;;;0;1;0;29;58;5;45;4;0;86;34;56;729;10;8;3;12;0;0;0;11;2;0;0;0;0;57;1;332;6;0;0;27;63;5;14;10;0;2;0;1;0;0;0;0;0;0;José Soto Ramirez;ADC Juan Pablo II
;;;;;;;;;;;;;;;0;0;0;0;0;1;50;0;0;89;1;33;118;0;1;1;3;0;0;0;3;0;0;0;0;0;9;0;50;0;0;0;3;60;0;2;0;0;0;0;0;0;0;0;0;0;0;Martin Peralta;ADC Juan Pablo II
;;;;;;;;;;;;;;;0;0;0;3;60;4;80;0;0;63;7;70;1440;3;1;0;16;43;20;22;23;3;19;8;3;8;14;0;239;1;0;0;96;41;0;17;1;0;0;0;0;0;0;0;1;1;0;Matias Vega;ADC Juan Pablo II
;;;;;;;;;;;;EXD;;;0;2;0;28;47;0;0;8;0;84;28;39;834;12;8;5;16;0;0;0;13;1;0;0;0;0;63;1;248;13;4;11;12;75;6;2;6;0;9;2;2;0;1;0;0;0;0;Nahuel Rodriguez;ADC Juan Pablo II
;;;;;;;;;;;;EXD;;;0;1;0;42;48;5;38;12;2;75;47;47;518;12;11;9;10;0;0;0;7;0;0;0;0;0;54;3;115;11;2;13;2;29;5;2;7;0;9;3;4;0;0;3;0;0;0;Relly Fernández;ADC Juan Pablo II
;;;;;;;;;;;;;;;3;3;0;33;70;45;60;2;1;74;78;64;1440;7;5;2;16;0;0;0;23;3;0;0;0;0;38;1;403;4;0;0;59;42;18;103;7;1;13;8;3;23;0;2;0;0;1;Renzo Alfani;ADC Juan Pablo II
;;;;;;;;;;;;;;;0;0;0;3;25;2;40;1;0;71;5;29;206;1;2;5;6;0;0;0;4;1;0;0;0;0;7;0;22;2;1;100;2;100;0;0;2;1;2;1;0;0;0;0;0;0;0;Tiago Cantoro;ADC Juan Pablo II
;;;;;;;;;;;;;;;1;1;0;28;64;17;81;1;0;61;45;69;666;4;9;1;13;0;0;0;8;0;0;0;0;0;38;1;120;10;14;33;17;28;11;50;3;0;4;1;1;25;0;1;0;0;0;Alexis Cossio;Alianza Atlético de Sullana
;;;;;;;;;;;;;;;0;0;0;6;50;2;40;1;0;62;8;47;140;1;4;0;5;0;0;0;1;0;0;0;0;0;9;0;29;0;0;0;0;0;0;8;1;0;3;0;1;0;0;0;0;0;0;Anthony Gordillo;Alianza Atlético de Sullana
;;;;;;;;;;;;;;;1;2;0;43;49;16;57;8;3;57;59;51;1205;9;15;11;16;0;0;0;12;2;0;0;0;0;49;3;143;6;9;23;26;38;13;39;15;0;13;2;3;8;0;0;0;0;0;Christian Vasquez;Alianza Atlético de Sullana
;;;;;;;;;;;;;;;0;1;0;0;0;6;100;0;0;42;6;100;540;2;0;0;6;12;5;6;1;0;3;3;4;3;22;0;65;0;0;0;36;29;0;6;0;0;0;0;0;0;0;0;0;0;0;Daniel Prieto;Alianza Atlético de Sullana
;;;;;;;;;;;;;;;0;1;0;2;50;0;0;0;0;50;2;40;900;2;0;0;10;25;14;11;13;2;4;4;5;4;21;0;144;0;0;0;71;33;0;16;2;0;0;0;0;0;0;0;1;0;0;Diego Melián;Alianza Atlético de Sullana
;;;;;;;;;;;;;;;3;7;0;44;53;10;67;5;1;66;54;55;881;8;21;4;14;0;0;0;6;2;0;0;0;0;42;4;127;8;6;50;13;36;5;35;10;1;14;7;1;21;0;0;0;0;0;Erick Perleche;Alianza Atlético de Sullana
;;;;;;;;;;;;;;;0;0;1;14;47;9;50;1;0;81;23;48;646;5;14;0;12;0;0;0;5;1;0;0;0;0;19;0;149;1;0;0;10;42;1;12;3;0;1;0;1;0;0;0;0;0;0;Federico Illanes;Alianza Atlético de Sullana
;;;;;;;;;;;;;;;0;2;0;36;52;7;35;3;1;84;43;48;1271;13;17;1;15;0;0;0;13;2;0;0;0;0;84;0;401;7;0;0;27;52;18;27;10;0;3;0;2;0;0;0;0;0;0;Frank Ysique;Alianza Atlético de Sullana
1109858;Guillermo;Larios;Guillermo Larios;G. Larios;23;Sub-23;350000;Perú;170;Der.;0;EXD;DC;EXI;3;4;1;20;31;19;29;2;1;57;39;30;550;8;18;12;13;0;0;0;4;0;0;0;0;0;40;1;65;10;0;0;4;22;5;12;9;2;13;6;3;23;0;1;0;0;0;Guillermo Larios;Alianza Atlético de Sullana
1644875;Hernan;Lupú;Hernan Lupú;H. Lupú;21;Sub-23;300000;Perú;175;Der.;0;MCD;MCX;;2;3;0;38;54;5;33;6;0;73;43;51;641;16;16;8;11;0;0;0;2;1;0;0;0;0;32;0;85;3;0;0;11;65;10;4;4;0;7;4;0;29;0;1;0;0;0;Hernan Lupú;Alianza Atlético de Sullana
;;;;;;;;;;;;;;;1;1;0;14;47;33;56;1;1;77;47;53;1426;6;11;0;16;0;0;0;14;2;0;0;0;0;52;1;321;6;2;20;31;38;8;79;7;1;7;3;0;14;0;1;0;0;0;Horacio Benincasa;Alianza Atlético de Sullana
;;;;;;;;;;;;;;;2;3;2;17;50;2;67;4;0;81;19;51;343;10;9;7;5;0;0;0;7;0;0;0;0;0;26;1;65;3;2;13;9;64;7;3;0;0;8;3;2;25;0;0;0;1;0;Jeremy Canela;Alianza Atlético de Sullana
;;;;;;;;;;;;;;;0;0;0;20;71;1;17;4;1;85;21;62;276;6;2;3;9;0;0;0;6;1;0;0;0;0;23;0;84;2;2;33;2;33;4;2;2;0;3;0;1;0;0;0;0;0;0;Jimmy Pérez;Alianza Atlético de Sullana
;;;;;;;;;;;;;;;0;0;0;9;69;3;75;2;0;80;12;71;124;6;1;2;6;0;0;0;0;0;0;0;0;0;12;0;32;4;1;50;1;100;0;0;0;0;3;1;0;0;0;0;0;0;0;Jorge del Castillo;Alianza Atlético de Sullana
