Estadistica,Acertados,Intentados
Expected goals,3.3,
Ball possession,0.0,
Total shots,26.0,
Shots on target,4.0,
Shots off target,0.0,
Blocked shots,4.0,
Corner kicks,8.0,
Offsides,0.0,
Fouls,4.0,
Yellow cards,0.0,
Red cards,0.0,
Free kicks,6.0,
Throw-ins,22.0,
Goal kicks,2.0,
Big chances,2.0,
Big chances missed,2.0,
Hit woodwork,0.0,
Counter attacks,4.0,
Counter attack shots,0.0,
Shots inside box,20.0,
Shots outside box,4.0,
Goalkeeper saves,0.0,
Passes,248.0,
Accurate passes,230.0,
Long balls,8.0,40.0
Crosses,4.0,18.0
Dribbles,2.0,6.0
Possession lost,160.0,
Duels won,50.0,
Aerials won,2.0,
Tackles,40.0,
Interceptions,18.0,
Clearances,22.0,
